Receipt No.,Completion Time,Details,Paid In,Withdrawn,TurnOver,No of Loans,Total Amount of Loans
OEB64H18XI,11/5/2020,M-Shwari Deposit,,"-24000,00","30,000",2,"16,000"
OE30W7SYVS,3/5/2020,M-Shwari Withdraw,"80,00",,,,
ODO1OVDAW1,                      4/24/20,M-Shwari Deposit,,"-94000,00",,,
ODI1KHGSS7,                      4/18/20,M-Shwari Withdraw,"523,00",,,,
ODH0JQZXLG,                      4/17/20,M-Shwari Withdraw,"50,00",,,,
ODE4HFOEM2,                       4/14/20,M-Shwari Withdraw,"200,00",,,,
ODE2HFMI5K,                       4/14/20,M-Shwari Withdraw,"300,00",,,,
ODB4F1HGE6,11/4/2020,M-Shwari Withdraw,"30,00",,,,
ODB0F1G4FE,11/4/2020,M-Shwari Withdraw,"130,00",,,,
OD63AS2W3X,6/4/2020,M-Shwari Deposit,,"-14000,00",,,
OCU151PK8R,                       3/30/20,M-Shwari Deposit,,"-500,00",,,
OCU251MPZO,                       3/30/20,M-Shwari Loan Repayment,,"-1,00",,,
OCU651KZLE,                       3/30/20,M-Shwari Loan Repayment,,"-64719,00",,,
OCR32TVPFV,                       3/27/20,M-Shwari Loan Repayment,,"-30,00",,,
OCR82TT5V2,                       3/27/20,M-Shwari Loan Repayment,,"-54000,00",,,
OCR22NSDOM,                       3/27/20,M-Shwari Loan Repayment,,"-34000,00",,,
OCP719U5KR,                      3/25/20,M-Shwari Loan Repayment,,"-14300,00",,,
OCK7W884T1,                      3/20/20,M-Shwari Loan Repayment,,"-200,00",,,
OC16GFJPH4,1/3/2020,M-Shwari Withdraw,"130,00",,,,
OC14GAURTC,1/3/2020,M-Shwari Withdraw,"20,00",,,,
OC18FUVPFC,1/3/2020,M-Shwari Withdraw,"350,00",,,,
OC10FU1VOY,1/3/2020,M-Shwari Withdraw,"50,00",,,,
OC16FU1H1M,1/3/2020,M-Shwari Withdraw,"400,00",,,,
OBT8F0E1U8,                   2/29/2020,M-Shwari Withdraw,"50,00",,,,
OBT7EYCCLT,                   2/29/2020,M-Shwari Deposit,,"-14000,00",,,
OBO8AWZ114,                   2/24/2020,M-Shwari Withdraw,"450,00",,,,
